Independents,Total Energy Consumption Increase,Total Energy Consumption Decrease,Energy Use Intensity Increase,Energy Use Intensity Decrease,Electricity Consumption Increase,Electricity Consumption Decrease,Heating Consumption Increase,Heating Consumption Decrease,Cooling Consumption Increase,Cooling Consumption Decrease,Gas Consumption Increase,Gas Consumption Decrease,Energy Per Capita Increase,Energy Per Capita Decrease
Building coverage ratio,"X. Zhou, Z. Huang, B. Scheuer, H. Wang, G. Zhou, and Y. Liu, “High-resolution estimation of building energy consumption at the city level,” Energy, vol. 275, Jul. 2023, doi: 10.1016/j.energy.2023.127476.",0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use 
in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.

P. Bansal and S. J. Quan, “Relationships between building characteristics, urban form and building energy use in different local climate zone contexts: An empirical study in Seoul,” Energy and Buildings, vol. 272, Oct. 2022, doi: 10.1016/j.enbuild.2022.112335.

Cui, Peng, Jiaqi Lu, Yutong Wu, Jingnan Tang, and Jinjian Jiang. 2024. “Effect of Urban Morphology on Microclimate and Building Cluster Energy Consumption in Cold Regions of China.” Sustainable Cities and Society 115 (November):105838. https://doi.org/10.1016/j.scs.2024.105838.

Li, Gaomei, Cheng Sun, Mengcheng Sang, Shuqin Chen, Jinjin Li, Yunsun Han, and Shen Xu. 2024. “The Synergistic Effect of Multiple Design Factors on Building Energy Consumption of Office Blocks: A Case Study of Wuhan, China.” Journal of Building Engineering 95 (October):110200. https://doi.org/10.1016/j.jobe.2024.110200.",0,"Lim, Jaebin, and Myounggu Kang. 2022. “The Relationship between Site Planning and Electricity Consumption: An Empirical Analysis of Multi-Unit Residential Complexes in Seoul, Korea.” Environment and Planning B: Urban Analytics and City Science 
49 (3): 971–86. https://doi.org/10.1177/23998083211039855.",0,0,0,0,0,0,0,0,0
Open space ratio,0,0,"K. Liu, X. Xu, R. Zhang, L. Kong, W. Wang, and W. Deng, “Impact of urban form on building energy consumption and 
solar energy potential: A case study of residential blocks in Jianhu, China,” Energy and Buildings, vol. 280, Feb. 2023, doi: 10.1016/j.enbuild.2022.112727.",0,0,0,0,0,0,0,0,0,0,0
Compactness,"Miao, Lu. 2017. “Examining the Impact Factors of Urban Residential Energy Consumption and CO 2 Emissions in China – Evidence from City-Level Data.” Ecological Indicators 73 (February):29–37. https://doi.org/10.1016/j.ecolind.2016.09.031.

Trepci, Esra, Praveen Maghelal, and Elie Azar. 2020. “Effect of Densification and Compactness on Urban Building Energy Consumption: Case of a Transit-Oriented Development in Dallas, TX.” Sustainable Cities and Society 56 (May). https://doi.org/10.1016/j.scs.2019.101987.

Ye, Hong, XiaoYan He, Yu Song, Xinhu Li, Guoqin Zhang, Tao Lin, and Lishan Xiao. 2015. “A Sustainable Urban Form: The Challenges of Compactness from the Viewpoint of Energy Consumption and Carbon Emission.” Energy and Buildings 93 (April):90–98. https://doi.org/10.1016/j.enbuild.2015.02.011.

Hadavi, Mohammad, and Hadi Pasdarshahri. 2021. “Investigating Effects of Urban Configuration and Density on Urban Climate and Building Systems Energy Consumption.” Journal of Building Engineering 44 (December):102710. https://doi.org/10.1016/j.jobe.2021.102710.",0,0,"Trepci, Esra, Praveen Maghelal, and Elie Azar. 2020. “Effect of Densification and Compactness on Urban Building Energy Consumption: 
Case of a Transit-Oriented Development in Dallas, TX.” Sustainable Cities and Society 56 (May). https://doi.org/10.1016/j.scs.2019.101987.",0,"Ki, Jaehong, and D.K. Yoon. 2024. “The Impact of Urban Form on Residential Electricity Consumption: 
Panel Data Analyses of South Korean Urban Municipalities.” Energy Policy 186 (March):113986. https://doi.org/10.1016/j.enpol.2024.113986.",0,"M. Braulio-Gonzalo, M. D. Bovea, M. J. Ruá, and P. Juan, “A methodology for predicting the energy performance and indoor thermal comfort of residential stocks on the neighbourhood and city scales. A case study in Spain,” Journal of Cleaner Production, vol. 139, pp. 646–665, Dec. 2016, doi: 10.1016/j.jclepro.2016.08.059.

Liu, Xiaochen, and John Sweeney. 2012. “Modelling the Impact of Urban Form on Household Energy Demand and Related CO2 Emissions in the Greater Dublin Region.” Energy Policy 46 (July):359–69. https://doi.org/10.1016/j.enpol.2012.03.070.","M. Braulio-Gonzalo, M. D. Bovea, M. J. Ruá, and P. Juan, “A methodology for
 predicting the energy performance and indoor thermal comfort of residential stocks on the neighbourhood and city scales. A case study in Spain,” Journal of Cleaner Production, vol. 139, pp. 646–665, Dec. 2016, doi: 10.1016/j.jclepro.2016.08.059.",0,0,0,0,0
Occupancy density,0,0,"X. Liu, H. Tang, Y. Ding, and D. Yan, “Investigating the performance of machine learning models combined with
 different feature selection methods to estimate the energy consumption of buildings,” Energy and Buildings, vol. 273, Oct. 2022, doi: 10.1016/j.enbuild.2022.112408.

P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.",0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use 
in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.",0,0,0,0,0,0,0,0,0
Population density,0,"A. Froemelt, R. Buffat, and S. Hellweg, “Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts,” Journal of Industrial Ecology, vol. 24, no. 3, pp. 639–652, Jun. 2020, doi: 10.1111/jiec.12969. 

E. Porse, J. Derenski, H. Gustafson, Z. Elizabeth, and S. Pincetl, “Structural, geographic, and social factors in urban building energy use: Analysis of aggregated account-level consumption data in a megacity,” Energy Policy, vol. 96, pp. 179–192, Sep. 2016, doi: 10.1016/j.enpol.2016.06.002.

B. Güneralp et al., “Global scenarios of urban density and its impacts on building energy use through 2050,” Proceedings of the National Academy of Sciences of the United States of America, vol. 114, no. 34, pp. 8945–8950, Aug. 2017, doi: 10.1073/pnas.1606035114. 

F. Creutzig, G. Baiocchi, R. Bierkandt, P. P. Pichler, and K. C. Seto, “Global typology of urban energy use and potentials for an urbanization mitigation wedge,” Proceedings of the National Academy of Sciences of the United States of America, vol. 112, no. 20, pp. 6283–6288, May 2015, doi: 10.1073/pnas.1315545112.

Mashhoodi, Bardia, Dominic Stead, and Arjan Van Timmeren. 2020. “Local and National Determinants of Household Energy Consumption in the Netherlands.” GeoJournal 85 (2): 393–406. https://doi.org/10.1007/s10708-018-09967-9.","L. Jiang, X. Shi, S. Wu, B. Ding, and Y. Chen, “What factors affect household energy consumption in mega-cities? A case study of Guangzhou, China,” Journal of Cleaner Production, vol. 363, Aug. 2022, doi: 10.1016/j.jclepro.2022.132388.

E. Porse, J. Derenski, H. Gustafson, Z. Elizabeth, and S. Pincetl, “Structural, geographic, and social factors in urban building energy use: Analysis of aggregated account-level consumption data in a megacity,” Energy Policy, vol. 96, pp. 179–192, Sep. 2016, doi: 10.1016/j.enpol.2016.06.002.",0,"Y. J. Chen, R. H. Matsuoka, and T. M. Liang, “Urban form, building characteristics, and residential electricity
consumption: A case study in Tainan City,” Environment and Planning B: Urban Analytics and City Science, vol. 45, no. 5, pp. 933–952, Sep. 2018, doi: 10.1177/2399808317690150.

J. L. Reyna and M. V. Chester, “Energy efficiency to reduce residential electricity and natural gas use under climate change,” Nature Communications, vol. 8, May 2017, doi: 10.1038/ncomms14916.","Ki, Jaehong, and D.K. Yoon. 2024. “The Impact of Urban Form on Residential Electricity Consumption: 
Panel Data Analyses of South Korean Urban Municipalities.” Energy Policy 186 (March):113986. https://doi.org/10.1016/j.enpol.2024.113986.",0,0,0,"Ko, Yekang, and John D Radke. 2014. “The Effect of Urban Form and Residential Cooling Energy Use in Sacramento, California.” Environment and Planning B: Planning and Design 41 (4): 573–93. https://doi.org/10.1068/b12038p.",0,0,0,"B. Güneralp et al., “Global scenarios of urban density and its impacts on building energy use through 2050,” Proceedings of the National Academy of Sciences of the United States of America, vol. 114, no. 34, pp. 8945–8950, Aug. 2017, doi: 10.1073/pnas.1606035114.

Elnakat, Afamia, Juan D. Gomez, and Nathlie Booth. 2016. “A Zip Code Study of Socioeconomic, Demographic, and Household Gendered Influence on the Residential Energy Sector.” Energy Reports 2 (November):21–27. https://doi.org/10.1016/j.egyr.2016.01.003."
Urban canyons ,"Mangan, Suzi Dilara, Gul Koclar Oral, Idil Erdemir Kocagil, and Irem Sozen. 2021. “The Impact of Urban Form on Building Energy and Cost Efficiency in Temperate-Humid Zones.” Journal of Building Engineering 33 (January):101626. https://doi.org/10.1016/j.jobe.2020.101626.


Strømann-Andersen, J., and P.A. Sattrup. 2011. “The Urban Canyon and Building Energy Use: Urban Density versus Daylight and Passive Solar Gains.” Energy and Buildings 43 (8): 2011–20. https://doi.org/10.1016/j.enbuild.2011.04.007.

Mirashk-Daghiyan, Maryam, Atefeh Dehghan-Touran-Poshti, Azadeh Shahcheragi, and Mohammad Hadi Kaboli. 2022. “The Effect of Surrounding Buildings’ Height and the Width of the Street on a Building’s Energy Consumption.” International Journal of Energy and Environmental Engineering 13 (1): 207–17. https://doi.org/10.1007/s40095-021-00420-1.",0,0,"Y. J. Chen, R. H. Matsuoka, and T. M. Liang, “Urban form, building characteristics, and residential electricity consumption: A case study in Tainan City,” Environment and Planning B: Urban Analytics and City Science, vol. 45, no. 5, pp. 933–952, Sep. 2018, doi: 10.1177/2399808317690150.

H. Leng, X. Chen, Y. Ma, N. H. Wong, and T. Ming, “Urban morphology and building heating energy consumption: Evidence from Harbin, a severe cold region city,” Energy and Buildings, vol. 224, Oct. 2020, doi: 10.1016/j.enbuild.2020.110143.",0,"Y. J. Chen, R. H. Matsuoka, and T. M. Liang, “Urban form, building characteristics, and residential electricity consumption: A case study in Tainan City,” Environment and Planning B: Urban Analytics and City Science, vol. 45, no. 5, pp. 933–952, Sep. 2018, doi: 10.1177/2399808317690150.",0,"H. Leng, X. Chen, Y. Ma, N. H. Wong, and T. Ming, “Urban morphology and building heating energy consumption: Evidence from Harbin, a severe cold region city,” Energy and Buildings, vol. 224, Oct. 2020, doi: 10.1016/j.enbuild.2020.110143.

Mangan, Suzi Dilara, Gul Koclar Oral, Idil Erdemir Kocagil, and Irem Sozen. 2021. “The Impact of Urban Form on Building Energy and Cost Efficiency in Temperate-Humid Zones.” Journal of Building Engineering 33 (January):101626. https://doi.org/10.1016/j.jobe.2020.101626.",0,"K. N. Streicher, P. Padey, D. Parra, M. C. Bürer, S. Schneider, and M. K. Patel, “Analysis of space heating demand in the Swiss residential building stock: Element-based bottom-up model of archetype buildings,” Energy and Buildings, vol. 184, pp. 300–322, Feb. 2019, doi: 10.1016/j.enbuild.2018.12.011.

M. Braulio-Gonzalo, M. D. Bovea, M. J. Ruá, and P. Juan, “A methodology for predicting the energy performance and indoor thermal comfort of residential stocks on the neighbourhood and city scales. A case study in Spain,” Journal of Cleaner Production, vol. 139, pp. 646–665, Dec. 2016, doi: 10.1016/j.jclepro.2016.08.059.

Mangan, Suzi Dilara, Gul Koclar Oral, Idil Erdemir Kocagil, and Irem Sozen. 2021. “The Impact of Urban Form on Building Energy and Cost Efficiency in Temperate-Humid Zones.” Journal of Building Engineering 33 (January):101626. https://doi.org/10.1016/j.jobe.2020.101626.

Huang, Kuo-Tsang, and Yi-Jhen Li. 2017. “Impact of Street Canyon Typology on Building’s Peak Cooling Energy Demand: A Parametric Analysis Using Orthogonal Experiment.” Energy and Buildings 154 (November):448–64. https://doi.org/10.1016/j.enbuild.2017.08.054.",0,0,0,0
Urban block typologies (courtyards),0,0,0,"Zhang, Ji, Le Xu, Veronika Shabunko, Stephen En Rong Tay, Huixuan Sun, Stephen Siu Yu Lau, and Thomas Reindl. 2019. “Impact of Urban Block Typology on Building Solar Potential and Energy Use Efficiency in Tropical High-Density City.” Applied Energy 240 (April):513–33. https://doi.org/10.1016/j.apenergy.2019.02.033.",,,,,,"Zhang, Ji, Le Xu, Veronika Shabunko, Stephen En Rong Tay, Huixuan Sun, Stephen Siu Yu Lau, and Thomas Reindl. 2019. “Impact of Urban Block Typology on Building Solar Potential and Energy Use Efficiency in Tropical High-Density City.” Applied Energy 240 (April):513–33. https://doi.org/10.1016/j.apenergy.2019.02.033.

Deng, Qingtan, Guangbin Wang, Yuetao Wang, Hao Zhou, and Lei Ma. 2021. “A Quantitative Analysis of the Impact of Residential Cluster Layout on Building Heating Energy Consumption in Cold IIB Regions of China.” Energy and Buildings 253 (December):111515. https://doi.org/10.1016/j.enbuild.2021.111515.",0,0,0,0
Shading of surrounding buildings,0,0,0,0,0,,"Zhao, Yiman, Xiaotian Ding, Ziyu Wu, Shi Yin, Yifan Fan, and Jian Ge. 2024. “Impact of 
Urban Form on Building Energy Consumption in Different Climate Zones of China.” Energy and Buildings 320 (October):114579. https://doi.org/10.1016/j.enbuild.2024.114579.",0,0,"Zhao, Yiman, Xiaotian Ding, Ziyu Wu, Shi Yin, Yifan Fan, and Jian Ge. 2024. “Impact of Urban Form on Building Energy Consumption in Different Climate Zones of China.” Energy and Buildings 320 (October):114579. https://doi.org/10.1016/j.enbuild.2024.114579.",0,0,0,0
Vertical-to-horizontal ratio,"Y. Zhang, B. K. Teoh, M. Wu, J. Chen, and L. Zhang, “Data-driven estimation of building energy consumption and GHG emissions using explainable 
artificial intelligence,” Energy, vol. 262, Jan. 2023, doi: 10.1016/j.energy.2022.125468.",0,0,0,0,0,0,0,0,0,0,0,0,0
Surface-to-volume ratio,"Y. Zhang, B. K. Teoh, M. Wu, J. Chen, and L. Zhang, “Data-driven estimation of building energy consumption and GHG emissions using explainable artificial intelligence,” Energy, vol. 262, Jan. 2023, doi: 10.1016/j.energy.2022.125468.

Q. Jiang et al., “Predicting building energy consumption in urban neighborhoods using machine learning algorithms,” Frontiers of Urban and Rural Planning, vol. 2, no. 1, Feb. 2024, doi: 10.1007/s44243-024-00032-3.",0,"K. Liu, X. Xu, R. Zhang, L. Kong, W. Wang, and W. Deng, “Impact of urban form on building energy consumption and solar energy potential: A case study of residential blocks in Jianhu, China,” Energy and Buildings, vol. 280, Feb. 2023, doi: 10.1016/j.enbuild.2022.112727.

M. Xie et al., “The impact of urban morphology on the building energy consumption and solar energy generation potential of university dormitory blocks,” Sustainable Cities and Society, vol. 96, Sep. 2023, doi: 10.1016/j.scs.2023.104644.

Li, Gaomei, Cheng Sun, Mengcheng Sang, Shuqin Chen, Jinjin Li, Yunsun Han, and Shen Xu. 2024. “The Synergistic Effect of Multiple Design Factors on Building Energy Consumption of Office Blocks: A Case Study of Wuhan, China.” Journal of Building Engineering 95 (October):110200. https://doi.org/10.1016/j.jobe.2024.110200.

Xu, Shen, Mengcheng Sang, Mengju Xie, Feng Xiong, Thushini Mendis, and Xingwei Xiang. 2023. “Influence of Urban Morphological Factors on Building Energy Consumption Combined with Photovoltaic Potential: A Case Study of Residential Blocks in Central China.” Building Simulation 16 (9): 1777–92. https://doi.org/10.1007/s12273-023-1014-4.",0,0,0,"Q. Jiang et al., “Predicting building energy consumption in urban neighborhoods using 
machine learning algorithms,” Frontiers of Urban and Rural Planning, vol. 2, no. 1, Feb. 2024, doi: 10.1007/s44243-024-00032-3.",0,0,0,0,0,0,0
Average building height,"X. Zhou, Z. Huang, B. Scheuer, H. Wang, G. Zhou, and Y. Liu, “High-resolution estimation of building energy consumption at the city level,” Energy, vol. 275, Jul. 2023, doi: 10.1016/j.energy.2023.127476.

Zhou, Xiao, Zhou Huang, Bronte Scheuer, Han Wang, Guoqing Zhou, and Yu Liu. 2023. “High-Resolution Estimation of Building Energy Consumption at the City Level.” Energy 275 (July). https://doi.org/10.1016/j.energy.2023.127476.","Resch, Eirik, Rolf André Bohne, Trond Kvamsdal, and Jardar Lohne. 2016. “Impact of Urban Density and Building Height on Energy Use in Cities.” Energy Procedia 96 (September):800–814. 
https://doi.org/10.1016/j.egypro.2016.09.142.","M. Xie et al., “The impact of urban morphology on the building energy consumption and solar energy generation potential of university dormitory blocks,” Sustainable Cities and Society, vol. 96, Sep. 2023, doi: 10.1016/j.scs.2023.104644.

Cui, Peng, Jiaqi Lu, Yutong Wu, Jingnan Tang, and Jinjian Jiang. 2024. “Effect of Urban Morphology on Microclimate and Building Cluster Energy Consumption in Cold Regions of China.” Sustainable Cities and Society 115 (November):105838. https://doi.org/10.1016/j.scs.2024.105838.","P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.",0,0,0,0,0,0,0,0,"Wang, Yang, Guiquan Sun, Yingmei Wu, and Mark W. Rosenberg. 2024. “Urban 3D 
Building Morphology and Energy Consumption: Empirical Evidence from 53 Cities in China.” Scientific Reports 14 (1): 12887. https://doi.org/10.1038/s41598-024-63698-1.",0
Building height variations,"Mirashk-Daghiyan, Maryam, Atefeh Dehghan-Touran-Poshti, Azadeh Shahcheragi, and Mohammad Hadi Kaboli. 2022. “The Effect of Surrounding Buildings’ Height and the Width of the Street on a Building’s Energy Consumption.” International Journal of 
Energy and Environmental Engineering 13 (1): 207–17. https://doi.org/10.1007/s40095-021-00420-1.0",0,"Y. J. Ahn and D. W. Sohn, “The effect of neighbourhood-level urban form on residential building energy use: 
A GIS-based model using building energy benchmarking data in Seattle,” Energy and Buildings, vol. 196, pp. 124–133, Aug. 2019, doi: 10.1016/j.enbuild.2019.05.018.","P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.",0,0,0,0,0,"Shareef, Sundus. 2021. “The Impact of Urban Morphology and Building’s Height Diversity on Energy Consumption at Urban Scale. The Case Study of Dubai.” Building and Environment 194 (May). https://doi.org/10.1016/j.buildenv.2021.107675.",0,0,0,0
Total wall surface area ,"P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.

Lee, Gunwon, and Yunnam Jeong. 2017. “Impact of Urban and Building Form and Microclimate on the Energy Consumption of Buildings - Based on Statistical Analysis-.” Journal of Asian Architecture and Building Engineering 16 (3): 565–72. https://doi.org/10.3130/jaabe.16.565.",0,0,"H. Leng, X. Chen, Y. Ma, N. H. Wong, and T. Ming, “Urban morphology and building heating energy consumption: Evidence from Harbin, a severe cold region city,” Energy and Buildings, vol. 224, Oct. 2020, doi: 10.1016/j.enbuild.2020.110143.","P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” 
Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.",0,0,0,0,0,"P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.",0,0,0
Size or length of block ,0,0,"M. Xie et al., “The impact of urban morphology on the building energy consumption and solar energy generation potential of university dormitory blocks,” Sustainable Cities and Society, vol. 96, Sep. 2023, doi: 10.1016/j.scs.2023.104644.",0,0,0,0,0,0,0,0,0,0,0
Plan depth (Depth of the building),"P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.

Lee, Gunwon, and Yunnam Jeong. 2017. “Impact of Urban and Building Form and Microclimate on the Energy Consumption of Buildings - Based on Statistical Analysis-.” Journal of Asian Architecture and Building Engineering 16 (3): 565–72. https://doi.org/10.3130/jaabe.16.565.",0,0,0,"P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” 
Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.",0,0,0,0,0,0,0,0,0
Effective public transport,0,"A. Froemelt, R. Buffat, and S. Hellweg, “Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts,” Journal of Industrial Ecology, vol. 24, no. 3, pp. 639–652, Jun. 2020, doi: 10.1111/jiec.12969.

A. F. Marique and S. Reiter, “A method to evaluate the energy consumption of suburban neighborhoods,” in HVAC and R Research, Feb. 2012, pp. 88–99. doi: 10.1080/10789669.2011.592103.
",0,0,0,0,0,"A. F. Marique and S. Reiter, “A method to evaluate the energy consumption of suburban neighborhoods,” in HVAC and R Research, Feb. 2012, pp. 88–99. doi: 10.1080/10789669.2011.592103.",0,0,0,0,0,0
Walkability and bikeability ,0,0,0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.",0,0,0,0,0,0,0,0,0,0
Green space or vegetation,"Ye, Hong, XiaoYan He, Yu Song, Xinhu Li, Guoqin Zhang, Tao Lin, and Lishan Xiao. 2015. “A Sustainable Urban Form: The Challenges of Compactness from the Viewpoint of Energy Consumption and Carbon Emission.” Energy and Buildings 93 (April):90–98. https://doi.org/10.1016/j.enbuild.2015.02.011.","S. Zhu et al., “The impact of urban vegetation morphology on urban building energy consumption during summer and winter seasons in Nanjing, China,” Landscape and Urban Planning, vol. 228, Dec. 2022, doi: 10.1016/j.landurbplan.2022.104576.

Erell, Evyatar, and Bin Zhou. 2022. “The Effect of Increasing Surface Cover Vegetation on Urban Microclimate and Energy Demand for Building Heating and Cooling.” Building and Environment 213 (April):108867. https://doi.org/10.1016/j.buildenv.2022.108867.

Qiao, Renlu, and Tongtong Liu. 2020. “Impact of Building Greening on Building Energy Consumption: A Quantitative Computational Approach.” Journal of Cleaner Production 246 (February):119020. https://doi.org/10.1016/j.jclepro.2019.119020.

Zhang, Biao, Gao-di Xie, Ji-xi Gao, and Yang Yang. 2014. “The Cooling Effect of Urban Green Spaces as a Contribution to Energy-Saving and Emission-Reduction: A Case Study in Beijing, China.” Building and Environment 76 (June):37–43. https://doi.org/10.1016/j.buildenv.2014.03.003.","Y. J. Ahn and D. W. Sohn, “The effect of neighbourhood-level urban form on residential building energy use: A GIS-based model using building energy benchmarking data in Seattle,” Energy and Buildings, vol. 196, pp. 124–133, Aug. 2019, doi: 10.1016/j.enbuild.2019.05.018.",0,0,"Douthat, Thomas, John D. Morgan, Haris Alibašić, and Aneurin Grant. 2020. “Passive Building 
Characteristics, and Summertime Residential Energy Use: A Spatial Analysis of Energy Efficiency in Gainesville, FL.” Building and Environment 169 (February):106542. https://doi.org/10.1016/j.buildenv.2019.106542.

Lim, Jaebin, and Myounggu Kang. 2022. “The Relationship between Site Planning and Electricity Consumption: An Empirical Analysis of Multi-Unit Residential Complexes in Seoul, Korea.” Environment and Planning B: Urban Analytics and City Science 49 (3): 971–86. https://doi.org/10.1177/23998083211039855.

",0,0,0,"Ko, Yekang, and John D Radke. 2014. “The Effect of Urban Form and Residential Cooling Energy Use in Sacramento, California.” Environment and Planning B: Planning and Design 41 (4): 573–93. https://doi.org/10.1068/b12038p.

Zhang, Biao, Gao-di Xie, Ji-xi Gao, and Yang Yang. 2014. “The Cooling Effect of Urban Green Spaces as a Contribution to Energy-Saving and Emission-Reduction: A Case Study in Beijing, China.” Building and Environment 76 (June):37–43. https://doi.org/10.1016/j.buildenv.2014.03.003.

Kikegawa, Yukihiro, Yutaka Genchi, Hiroaki Kondo, and Keisuke Hanaki. 2006. “Impacts of City-Block-Scale Countermeasures against Urban Heat-Island Phenomena upon a Building’s Energy-Consumption for Air-Conditioning.” Applied Energy 83 (6): 649–68. https://doi.org/10.1016/j.apenergy.2005.06.001.

Xu, Xiyan, Shuming Liu, Shibo Sun, Wenwei Zhang, Ying Liu, Zhaoming Lao, Guancheng Guo, et al. 2019. “Evaluation of Energy Saving Potential of an Urban Green Space and Its Water Bodies.” Energy and Buildings 188–189 (April):58–70. https://doi.org/10.1016/j.enbuild.2019.02.003.

Feng, Wei, Wei Ding, Meng Zhen, Weihan Zou, and Haifeng Wang. 2022. “Cooling Effect of Urban Small Green Spaces in Qujiang Campus, Xi’an Jiaotong University, China.” Environment, Development and Sustainability 24 (3): 4278–98. https://doi.org/10.1007/s10668-021-01615-6.

Haddad, Shamila, Wanni Zhang, Riccardo Paolini, Kai Gao, Muzahim Altheeb, Abdulrahman Al Mogirah, Abdullatif Bin Moammar, et al. 2024. “Quantifying the Energy Impact of Heat Mitigation Technologies at the Urban Scale.” Nature Cities 1 (1): 62–72. https://doi.org/10.1038/s44284-023-00005-5.
",0,0,0,0
Water bodies,"Ye, Hong, XiaoYan He, Yu Song, Xinhu Li, Guoqin Zhang, Tao Lin, and Lishan Xiao. 2015. “A Sustainable Urban Form: The Challenges of Compactness from the Viewpoint of Energy Consumption and Carbon Emission.” Energy and Buildings 93 (April):90–98. https://doi.org/10.1016/j.enbuild.2015.02.011.",0,0,0,0,0,0,0,0,"Xu, Xiyan, Shuming Liu, Shibo Sun, Wenwei Zhang, Ying Liu, Zhaoming Lao, Guancheng Guo, et al. 2019. “Evaluation of Energy Saving Potential of an Urban Green Space and Its Water Bodies.” Energy and Buildings 188–189 (April):58–70. https://doi.org/10.1016/j.enbuild.2019.02.003.",0,0,0,0
Sky view factor,0,0,"M. Xie et al., “The impact of urban morphology on the building energy consumption and solar energy generation potential of university dormitory blocks,” Sustainable Cities and Society, vol. 96, Sep. 2023, doi: 10.1016/j.scs.2023.104644.","Xu, Shen, Mengcheng Sang, Mengju Xie, Feng Xiong, Thushini Mendis, and Xingwei Xiang. 2023. “Influence of Urban Morphological Factors on 
Building Energy Consumption Combined with Photovoltaic Potential: A Case Study of Residential Blocks in Central China.” Building Simulation 16 (9): 1777–92. https://doi.org/10.1007/s12273-023-1014-4.",0,0,0,0,0,"Kikegawa, Yukihiro, Yutaka Genchi, Hiroaki Kondo, and Keisuke Hanaki. 2006. “Impacts of City-Block-Scale Countermeasures against Urban Heat-Island 
Phenomena upon a Building’s Energy-Consumption for Air-Conditioning.” Applied Energy 83 (6): 649–68. https://doi.org/10.1016/j.apenergy.2005.06.001.",0,0,0,0
